Dot Point Measurements

Generated: Friday 22 May 2026 11:17:59

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		1057	1185													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						43.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		777	1595													Substrate > Consolidated (hard)	Rock							76.8
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		763	1255													Unscorable								38.0
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		1062	1670													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						91.2
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		918	1310													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						46.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		747	178													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						85.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		934	452													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						56.8
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		572	1584													Substrate > Consolidated (hard)	Rock							79.3
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		869	898													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						10.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		583	940													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						22.8
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		694	1292													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						43.3
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		634	555													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						45.6
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		599	243													Unscorable								80.7
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		585	286													Unscorable								76.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		815	1068													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						16.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		966	651													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						37.7
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		766	154													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						88.2
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		844	1628													Unscorable								80.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		851	1466													Substrate > Consolidated (hard)	Rock							62.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		594	71													Unscorable								100.0
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		774	1423													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						49.1
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		967	1081													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						14.9
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		949	45													Matrix > Bryozoa / Cnidaria Matrix								100.0
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		823	425													Sponges > Erect forms	Laminar							59.3
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		884	1674													Unscorable								74.7
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		942	1070													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						12.4
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		1063	88													Matrix > Bryozoa / Cnidaria Matrix								97.3
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		789	1851													Sponges > Massive forms	Simple							94.1
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		657	1034													Unscorable								24.2
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		995	315													Matrix > Mixed Sessile Invertebrate								72.0
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		756	642													Sponges > Erect forms	Laminar							38.0
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		554	1234													Sponges > Cup-likes	Barrels							44.1
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		666	1368													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						47.6
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		982	279													Matrix > Mixed Sessile Invertebrate								75.5
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		688	1125													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						25.7
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		1071	1160													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						28.8
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		1073	976													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						21.1
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		921	1363													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						41.7
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		950	1392													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						45.2
SAL-BV-013_1_01_Left_MAH00333.MP4_0006708.jpg	      0		1003	977													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						13.7
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		801	27													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						71.5
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		1049	284													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						51.2
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		544	1080													Unscorable								48.3
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		558	502													Unscorable								34.1
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		1054	1466													Substrate > Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)						84.2
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		884	105													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						63.8
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		666	161													Unscorable								59.3
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		578	1095													Unscorable								47.7
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		885	1651													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						100.0
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		1016	462													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						33.8
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		573	675													Unscorable								25.0
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		636	310													Unscorable								45.5
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		845	1281													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						60.7
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		705	432													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						30.9
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		1004	115													Sponges > Erect forms	Laminar							65.6
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		927	1076													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						41.0
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		824	328													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						39.8
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		872	688													Matrix > Mixed Sessile Invertebrate								7.0
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		712	1280													Unscorable								61.4
SAL-BV-022_1_01_Left_MAH00283.MP4_0039542.jpg	      0		1028	1097													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						47.3
SAL-BV-026_1_01_Left_MAH00359.MP4_0031147.jpg	      0		917	1738													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						79.6
SAL-BV-026_1_01_Left_MAH00359.MP4_0031147.jpg	      0		933	744													Sponges > Erect forms	Simple							38.7
SAL-BV-026_1_01_Left_MAH00359.MP4_0031147.jpg	      0		562	300													Unscorable								91.6
SAL-BV-026_1_01_Left_MAH00359.MP4_0031147.jpg	      0		965	1636													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						69.3
SAL-BV-026_1_01_Left_MAH00359.MP4_0031147.jpg	      0		934	1807													Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						87.8
SAL-BV-026_1_01_Left_MAH00359.MP4_0031147.jpg	      0		666	1302													Unscorable								32.8
