opcode,latitude_dd,longitude_dd,date_time_raw,date_raw,time_raw,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,observer_sessileinverts,successful_sessileinverts,presence_sessileinverts,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_relief_forward,successful_habitat_backward,successful_relief_backward,observer_habitat_forward,observer_habitat_backward,system_number,left_camera,right_camera,rear_camera,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
SAL-BV-001,-34.46670461,123.6283059,2022-11-22 00:19:12,2022-11-22,00:19:12,2022-11-22T00:19:12Z,Salisbury Island,Eastern Recherche,Fished,47.8,Yes,Yes,Alex McLennan,Daniel Agnello,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,23/10/2023,Claude Spencer,9/11/2023,Kelp coverage annoying but manageable
SAL-BV-013,-34.40500309,123.624557,2022-11-22 03:23:14,2022-11-22,03:23:14,2022-11-22T03:23:14Z,Salisbury Island,Eastern Recherche,Fished,83.4,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,26/10/2023,Claude Spencer,13/11/2023,Housing 43 but camera 36 - use post CAL
SAL-BV-022,-34.32191272,123.5100899,2022-11-21 02:32:16,2022-11-21,02:32:16,2022-11-21T02:32:16Z,Salisbury Island,Eastern Recherche,Fished,81.8,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,RAW2,11/10/2023,Claude Spencer,3/11/2023,
SAL-BV-026,-34.35307209,123.6522622,2022-11-22 03:53:28,2022-11-22,03:53:28,2022-11-22T03:53:28Z,Salisbury Island,Eastern Recherche,Fished,79.4,Yes,Yes,Daniel Agnello,Alex McLennan,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,25/10/2023,Alex McLennan,7/11/2023,2 hermit crabs fighting each other after period (video in cool clips folder)
SAL-BV-027,-34.41246656,123.5395713,2022-11-21 06:37:00,2022-11-21,06:37:00,2022-11-21T06:37:00Z,Salisbury Island,Eastern Recherche,Fished,86.1,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,RAW2,11/10/2023,Claude Spencer,3/11/2023,Recorded opcode changed from 079
SAL-BV-032,-34.42764662,123.5610232,2022-11-21 06:51:25,2022-11-21,06:51:25,2022-11-21T06:51:25Z,Salisbury Island,Eastern Recherche,Fished,90.4,Yes,Yes,Daniel Agnello,Alex McLennan,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,2/11/2023,Alex McLennan,7/11/2023,Could not measure lepidoptera as it only appears in L
SAL-BV-035,-34.34593659,123.6629647,2022-11-22 04:01:24,2022-11-22,04:01:24,2022-11-22T04:01:24Z,Salisbury Island,Eastern Recherche,Fished,78.9,Yes,Yes,Alex McLennan,Alex McLennan,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,RAW2,2/11/2023,Claude Spencer,8/11/2023,
SAL-BV-043,-34.43747999,123.5081563,2022-11-21 07:19:04,2022-11-21,07:19:04,2022-11-21T07:19:04Z,Salisbury Island,Eastern Recherche,Fished,91.6,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,10/10/2023,Claude Spencer,3/11/2023,
SAL-BV-047,-34.31721358,123.4814367,2022-11-21 02:20:23,2022-11-21,02:20:23,2022-11-21T02:20:23Z,Salisbury Island,Eastern Recherche,Fished,83,Yes,Yes,Alex McLennan,Alex McLennan,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,2/11/2023,Claude Spencer,8/11/2023,CAM RECORDED 042 BUT PLAN CHANGED TO 047
SAL-BV-049,-34.38435333,123.6363099,2022-11-22 03:35:35,2022-11-22,03:35:35,2022-11-22T03:35:35Z,Salisbury Island,Eastern Recherche,Fished,82.4,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,23/10/2023,Claude Spencer,9/11/2023,
