OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
INV-BV-169	0	L15_GX010036.MP4	2724	R16_GX010036.MP4	2589	1.51485		-1.00000	32.07001	-18.09694	-1131.62534	0.70881	0.69481	3.34664	2.93465	1132.22431	1.75280								sync		
INV-BV-169	1	L15_GX010036.MP4	34738	R16_GX010036.MP4	34603	19.31819	1	5.77688	-2.50243	-154.95109	-1597.39503	0.97938	1.17258	6.56839	0.84937	1604.89469	5.28683	Sepiidae	Sepia	apama	23607001	1	AD	Passing			
INV-BV-073	0	20240516_BRUV_3_L19_GX010031.MP4	5899	20240516_BRUV_3_R20_GX010036.MP4	5480	3.28050		-1.00000	5.70441	16.27936	-798.49209	0.50791	0.49349	1.70750	1.40726	798.67839	1.37127								sync		
INV-BV-237	0	20240516_BRUV_4_L21_GX010031.MP4	2511	20240516_BRUV_4_R22_GX010031.MP4	2338	1.39639		-1.00000	15.71345	-31.26188	-626.20350	0.40766	0.39648	1.21266	0.70625	627.18023	2.78472								sync		
INV-BV-237	18	20240516_BRUV_4_L21_GX010031.MP4	85071	20240516_BRUV_4_R22_GX010031.MP4	84898	47.30893	1	41.47254	-356.03024	103.38113	-1212.01683	1.41096	0.81599	4.43271	0.45670	1267.45019	17.14533	Dasyatidae	Bathytoshia	brevicaudata	37035001	1	AD	Passing			
INV-BV-221	0	20240517_BRUV_1_L15_GX010037.MP4	4808	20240517_BRUV_1_R16_GX010037.MP4	4665	2.67378		-1.00000	54.29984	-14.41694	-1029.58085	0.65681	0.63300	2.78879	2.97817	1031.11253	3.06794								sync		
INV-BV-205	0	20240517_BRUV_2_L17_GX010034.MP4	13773	20240517_BRUV_2_R18_GX010034.MP4	13772	7.65932		-1.00000	43.73144	-23.52861	-817.28094	0.52581	0.50699	1.74041	2.38444	818.78823	3.47085								sync		
INV-BV-205	17	20240517_BRUV_2_L17_GX010034.MP4	37230	20240517_BRUV_2_R18_GX010034.MP4	37229	20.70402	1	9.76920	2027.34311	-39.44749	-2524.47494	12.23761	1.57941	15.74398	1.39817	3238.00091	38.77212	Carangidae/Scombridae			37337/37441	1	AD	Passing			
INV-BV-205	18	20240517_BRUV_2_L17_GX010034.MP4	37230	20240517_BRUV_2_R18_GX010034.MP4	37229	20.70402	1	9.76920	2803.74067	225.56855	-3647.00940	24.91060	3.02817	33.25214	2.09028	4605.70521	37.64270	Carangidae/Scombridae			37337/37441	1	AD	Passing			
INV-BV-205	19	20240517_BRUV_2_L17_GX010034.MP4	37230	20240517_BRUV_2_R18_GX010034.MP4	37229	20.70402	1	9.76920	2977.25888	185.21821	-4163.82579	31.00199	3.22582	44.29360	0.52124	5122.09151	35.61909	Carangidae/Scombridae			37337/37441	1	AD	Passing			
INV-BV-205	43	20240517_BRUV_2_L17_GX010034.MP4	118437	20240517_BRUV_2_R18_GX010034.MP4	118436	65.86413	1	54.92932	-678.93579	42.01433	-1969.16865	3.50718	1.21953	9.95933	0.07160	2083.34927	19.05791	Carangidae	Pseudocaranx	spp		1	AD	Passing			
INV-BV-205	44	20240517_BRUV_2_L17_GX010034.MP4	118437	20240517_BRUV_2_R18_GX010034.MP4	118436	65.86413	1	54.92932	-736.17706	-271.92126	-1840.80905	3.53835	1.70913	8.75963	0.01919	2001.11864	23.08541	Carangidae	Pseudocaranx	spp		1	AD	Passing			
INV-BV-205	45	20240517_BRUV_2_L17_GX010034.MP4	118437	20240517_BRUV_2_R18_GX010034.MP4	118436	65.86413	1	54.92932	51.36658	-36.37279	-1335.01479	0.83917	0.82204	4.50050	2.84774	1336.49766	2.69164	Carangidae	Pseudocaranx	spp		2	AD	Passing			
INV-BV-032	0	20240517_BRUV_3_L19_GX010032.MP4	2908	20240517_BRUV_3_R20_GX010037.MP4	2736	1.61717		-1.00000	-418.61164	-387.54419	-1163.11577	1.40324	1.37940	3.56174	18.91816	1295.47848	26.08180								sync		
INV-BV-048	0	20240517_BRUV_4_L21_GX010032.MP4	4771	20240517_BRUV_4_R22_GX010032.MP4	4522	2.65321		-1.00000	-26.35633	20.95877	-556.54555	0.36894	0.35080	0.97203	3.95618	557.56334	3.57518					1	AD	Passing	sync		
INV-BV-048	1	20240517_BRUV_4_L21_GX010032.MP4	19456	20240517_BRUV_4_R22_GX010032.MP4	19207	10.81970	1	1.89968	-1312.40762	-334.94165	-2521.24367	9.59726	2.97145	18.97390	2.90343	2862.03936	28.20254	Unknown	Unknown	Unknown	0	1	AD	Passing			
INV-BV-217	0	20240517_BRUV_5_L23_GX010031.MP4	43201	20240517_BRUV_5_R24_GX010036.MP4	43055	24.02458		-1.00000	3.96291	92.33244	-371.20670	0.25685	0.25733	0.38765	2.58006	382.53810	14.23470								Sync		
INV-BV-217	3	20240517_BRUV_5_L23_GX010031.MP4	53336	20240517_BRUV_5_R24_GX010036.MP4	53190	29.66077	1	3.10032	1722.42811	157.42924	-2497.06502	10.18123	1.76345	15.16731	2.05465	3037.57737	34.73263	Unknown	Unknown	Unknown	0	1	AD	Passing			
INV-BV-217	7	20240517_BRUV_5_L23_GX010031.MP4	65229	20240517_BRUV_5_R24_GX010036.MP4	65083	36.27461	1	9.71416	-2051.77314	472.63644	-3399.59503	18.04704	4.57994	30.45574	5.81754	3998.80039	31.82960	Labridae	Suezichthys	bifurcatus	37384160	1	AD	Passing			
INV-BV-217	11	20240517_BRUV_5_L23_GX010031.MP4	65329	20240517_BRUV_5_R24_GX010036.MP4	65183	36.33022	1	9.76977	-2681.15849	420.70957	-4206.80190	29.00178	5.10940	46.30940	12.74434	5006.27502	32.86788	Labridae	Suezichthys	bifurcatus	37384160	1	AD	Passing			
INV-BV-217	14	20240517_BRUV_5_L23_GX010031.MP4	69850	20240517_BRUV_5_R24_GX010036.MP4	69704	38.84440	1	12.28395	781.45086	-175.62564	-2211.95101	4.44143	1.69954	12.44589	6.75831	2352.49593	19.85090	Gerreidae	Parequula	elongata	37349023	1	AD	Passing			
INV-BV-217	15	20240517_BRUV_5_L23_GX010031.MP4	69851	20240517_BRUV_5_R24_GX010036.MP4	69705	38.84496	1	12.28451	714.21157	-166.53005	-2229.42646	4.11354	1.67909	12.59511	4.08451	2346.94967	18.15245	Gerreidae	Parequula	elongata	37349023	1	AD	Passing			
INV-BV-225	0	20240517_BRUV_6_R96_GX010029.MP4	1728	20240517_BRUV_6_L95_GX010033.MP4	1398	0.96096		-1.00000														1	AD	Passing	sync		
