OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
INV-BV-169	2	L15_GX010036.MP4	40271	R16_GX010036.MP4	40136	22.39515	1	8.85384	137.99095	2.78973	1.03035	1151.27999	34.98672	46.45272	23.07986	582.22308	-311.10439	-943.22636	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
INV-BV-169	3	L15_GX010036.MP4	40513	R16_GX010036.MP4	40378	22.52973	1	8.98842	146.75269	7.17986	3.07801	2217.86341	18.74091	17.87462	6.06493	-685.49254	-194.58737	-2100.27470	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
INV-BV-169	4	L15_GX010036.MP4	40634	R16_GX010036.MP4	40499	22.59702	1	9.05571	150.30482	5.58999	2.16575	2520.97699	15.70581	5.32936	2.85553	548.18129	-406.44724	-2426.85453	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
INV-BV-169	5	L15_GX010036.MP4	40672	R16_GX010036.MP4	40537	22.61815	1	9.07685	139.44970	13.67134	2.91141	2940.60995	23.38619	17.98990	8.71057	-1153.83218	-176.18945	-2699.03973	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
INV-BV-169	6	L15_GX010036.MP4	43711	R16_GX010036.MP4	43576	24.30817	1	10.76687	73.48310	6.25117	5.34015	2031.75736	25.48980	17.76658	7.87190	730.09224	-481.12784	-1833.98999	Labridae	Suezichthys	bifurcatus	37384160	2	AD	Passing			
INV-BV-169	7	L15_GX010036.MP4	44107	R16_GX010036.MP4	43972	24.52839	1	10.98709	88.94503	1.96166	0.20370	1941.11750	13.39838	3.55041	0.42094	-103.34731	-437.76289	-1888.28497	Labridae	Suezichthys	bifurcatus	37384160	2	AD	Passing			
INV-BV-169	8	L15_GX010036.MP4	44517	R16_GX010036.MP4	44382	24.75640	1	11.21509	69.28681	6.12841	0.42974	2120.97419	22.32544	16.47977	0.53580	-641.44516	-487.52541	-1961.98842	Labridae	Suezichthys	bifurcatus	37384160	2	AD	Passing			
INV-BV-169	9	L15_GX010036.MP4	50889	R16_GX010036.MP4	50754	28.29994	1	14.75863	173.01849	2.74868	2.20442	1593.68104	13.10675	10.19245	18.17396	357.19935	54.89406	-1552.16447	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	10	L15_GX010036.MP4	51140	R16_GX010036.MP4	51005	28.43952	1	14.89822	165.83716	5.79887	2.92559	1779.40718	16.55267	28.31186	14.45505	491.54307	-124.01974	-1705.66539	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	11	L15_GX010036.MP4	51151	R16_GX010036.MP4	51016	28.44564	1	14.90433	184.39059	1.38397	0.67528	1363.42010	7.20465	5.65141	54.88447	-144.01556	-92.18258	-1352.65526	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	12	L15_GX010036.MP4	51228	R16_GX010036.MP4	51093	28.48846	1	14.94715	170.00294	1.82357	0.55025	1412.46590	6.87193	9.80743	25.48954	168.45044	13.64585	-1402.31885	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	13	L15_GX010036.MP4	51277	R16_GX010036.MP4	51142	28.51571	1	14.97440	175.27312	4.34048	0.91510	1569.19886	10.65986	27.45891	6.73196	-232.51866	173.75362	-1542.11861	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	14	L15_GX010036.MP4	51282	R16_GX010036.MP4	51147	28.51849	1	14.97718	164.79947	6.10609	3.36270	1571.57884	23.47860	46.58357	16.85945	625.22807	33.54179	-1441.46622	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	15	L15_GX010036.MP4	51320	R16_GX010036.MP4	51185	28.53962	1	14.99832	156.20866	2.45684	1.26318	1598.91676	15.24269	3.22355	30.07008	417.93141	-45.19626	-1542.66829	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	16	L15_GX010036.MP4	51327	R16_GX010036.MP4	51192	28.54352	1	15.00221	170.06250	1.62556	1.19656	1422.02279	10.79005	0.40194	35.71112	254.24453	-78.94100	-1396.88112	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	17	L15_GX010036.MP4	51331	R16_GX010036.MP4	51196	28.54574	1	15.00443	149.75483	2.74634	1.33510	1319.13003	14.22345	24.58931	18.27060	181.87454	-268.27720	-1278.69192	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	18	L15_GX010036.MP4	51339	R16_GX010036.MP4	51204	28.55019	1	15.00888	166.28005	3.01088	0.86348	1928.96813	2.88599	10.47442	11.81207	96.99295	-4.98636	-1926.52162	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	19	L15_GX010036.MP4	51348	R16_GX010036.MP4	51213	28.55519	1	15.01389	148.96552	3.53804	1.32089	1596.72511	19.61167	12.12812	2.25120	517.07686	-140.89997	-1504.09766	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	20	L15_GX010036.MP4	51362	R16_GX010036.MP4	51227	28.56298	1	15.02167	177.51723	1.27659	1.33223	1374.20549	3.75069	0.55004	55.66502	-15.65718	88.51973	-1371.26214	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	21	L15_GX010036.MP4	51362	R16_GX010036.MP4	51227	28.56298	1	15.02167	168.10944	2.44489	0.90862	1667.97096	5.11914	11.11301	7.18816	-46.40899	141.40738	-1661.31794	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	22	L15_GX010036.MP4	51376	R16_GX010036.MP4	51241	28.57076	1	15.02946	157.98779	1.44453	2.63112	1386.74394	9.31282	1.28875	43.91916	223.69633	-17.87303	-1368.46602	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	23	L15_GX010036.MP4	51395	R16_GX010036.MP4	51260	28.58133	1	15.04002	131.05014	2.90524	3.36696	1606.32666	0.94596	25.64844	50.80475	-26.26772	-3.64618	-1606.10773	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	24	L15_GX010036.MP4	51425	R16_GX010036.MP4	51290	28.59801	1	15.05671	192.05540	10.24388	1.59478	2077.86086	0.78374	40.71536	6.33477	27.66759	-6.50408	-2077.66647	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	25	L15_GX010036.MP4	51446	R16_GX010036.MP4	51311	28.60969	1	15.06839	164.80150	1.93810	0.54161	1390.40713	9.27244	13.07496	35.67006	202.92512	-94.93741	-1372.23915	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	26	L15_GX010036.MP4	51448	R16_GX010036.MP4	51313	28.61080	1	15.06950	169.76289	2.41446	0.10973	1403.89132	8.99674	19.63068	35.32695	196.47405	-97.95376	-1386.61958	Monacanthidae	Nelusetta	ayraud	37465006	1	AD	Passing			
INV-BV-169	27	L15_GX010036.MP4	76257	R16_GX010036.MP4	76122	42.40737	1	28.86606	54.72594	3.16924	3.37444	1457.01292	33.83198	1.68299	6.27967	-704.70975	-401.79437	-1210.30249	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
INV-BV-169	28	L15_GX010036.MP4	76285	R16_GX010036.MP4	76150	42.42294	1	28.88163	52.09010	2.94005	4.65012	1380.86633	34.84799	13.38662	3.98713	-666.34826	-422.54727	-1133.23678	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
INV-BV-169	29	L15_GX010036.MP4	87116	R16_GX010036.MP4	86981	48.44618	1	34.90487	109.38503	1.14179	1.43432	932.59991	23.88561	5.52195	2.76489	270.58596	-263.40224	-852.72803	Labridae		sp1		1	AD	Passing			
INV-BV-169	30	L15_GX010036.MP4	87466	R16_GX010036.MP4	87331	48.64081	1	35.09951	126.03953	7.18128	1.95992	2324.65055	25.64517	3.98234	12.28615	901.27880	-447.14155	-2095.65292	Labridae		sp1		1	AD	Passing			
INV-BV-169	31	L15_GX010036.MP4	104057	R16_GX010036.MP4	103922	57.86725	1	44.32595	1159.50855	8.17387	4.13433	2270.42302	22.06586	7.87942	0.43238	845.03409	-115.82228	-2104.12055	Triakidae	Mustelus	antarcticus	37017001	1	AD	Passing			
