OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
INV-BV-169	0	1	L15_GX010036.MP4	24350	13.54131	L15_GX010036.MP4	132242	73.54125	1
INV-BV-064	0	1	20240516_BRUV_2_L17_GX010033.MP4	21711	12.07374	20240516_BRUV_2_L17_GX010033.MP4	129603	72.07374	1
INV-BV-073	0	1	20240516_BRUV_3_L19_GX010031.MP4	13047	7.25558	20240516_BRUV_3_L19_GX010031.MP4	120939	67.25552	1
INV-BV-237	0	1	20240516_BRUV_4_L21_GX010031.MP4	10495	5.83639	20240516_BRUV_4_L21_GX010031.MP4	118387	65.83633	1
INV-BV-189	0	1	20240516_BRUV_5_R24_GX010035.MP4	19349	10.76019				0
INV-BV-221	0	1	20240517_BRUV_1_L15_GX010037.MP4	12758	7.09487	20240517_BRUV_1_L15_GX010037.MP4	120650	67.09481	1
INV-BV-205	0	1	20240517_BRUV_2_L17_GX010034.MP4	19663	10.93481	20240517_BRUV_2_L17_GX010034.MP4	127555	70.93475	1
INV-BV-032	0	1	20240517_BRUV_3_L19_GX010032.MP4	42680	23.73482	20240517_BRUV_3_L19_GX020032.MP4	4652	83.73476	1
INV-BV-048	0	1	20240517_BRUV_4_L21_GX010032.MP4	16040	8.92002	20240517_BRUV_4_L21_GX010032.MP4	123932	68.91996	1
INV-BV-217	0	1	20240517_BRUV_5_L23_GX010031.MP4	47761	26.56045	20240517_BRUV_5_L23_GX020031.MP4	9733	86.56045	1
INV-BV-225	0	1	20240517_BRUV_6_R96_GX010029.MP4	14830	8.24713	20240517_BRUV_6_R96_GX010029.MP4	122722	68.24707	1
INV-BV-233	0	1	20240517_BRUV_7_L27_GX010035.MP4	9531	5.30030	20240517_BRUV_7_L27_GX010035.MP4	117423	65.30024	1
INV-BV-173	0	1	20240517_BRUV_8_L29_GX010030.MP4	4738	2.63486	20240517_BRUV_8_L29_GX010030.MP4	112630	62.63486	1
INV-BV-249	0	1	20240517_BRUV_9_L31_GX010055.MP4	13558	7.53975	20240517_BRUV_9_L31_GX010055.MP4	121450	67.53969	1
INV-BV-044	0	1	20240517_BRUV_10_R34_GX010037.MP4	9014	5.01279	20240517_BRUV_10_R34_GX010037.MP4	116906	65.01273	1
INV-BV-160	0	1	20240517_BRUV_1_L15_GX010039.MP4	14546	8.08919	20240517_BRUV_1_L15_GX010039.MP4	119629	66.52702	1
INV-BV-096	0	1	20240517_BRUV_2_L17_GX010036.MP4	7429	4.13135	20240517_BRUV_2_L17_GX010036.MP4	115321	64.13129	1
INV-BV-156	0	1	20240517_BRUV_3_L19_GX010034.MP4	11242	6.25180	20240517_BRUV_3_L19_GX010034.MP4	119134	66.25174	1
INV-BV-028	0	1	20240517_BRUV_4_L21_GX010034.MP4	16457	9.15192	20240517_BRUV_4_L21_GX010034.MP4	124349	69.15186	1
INV-BV-241	0	1	20240517_BRUV_5_L23_GX010033.MP4	17478	9.71972	20240517_BRUV_5_L23_GX010033.MP4	123950	68.93004	1
INV-BV-165	0	1	20240517_BRUV_6_L95_GX010035.MP4	5899	3.28050	20240517_BRUV_6_L95_GX010035.MP4	109997	61.17055	1
INV-BV-CP1	0	1	20240518_BRUV_1_L15_GX010040.MP4	10637	5.91536	20240518_BRUV_1_L15_GX010040.MP4	118529	65.91536	1
INV-BV-CP2	0	1	20240518_BRUV_2_L17_GX010037.MP4	12041	6.69613	20240518_BRUV_2_L17_GX010037.MP4	119933	66.69607	1
INV-BV-CP3	0	1	20240518_BRUV_3_L19_GX010035.MP4	14468	8.04582	20240518_BRUV_3_L19_GX010035.MP4	122360	68.04576	1
INV-BV-CP4	0	1	20240518_BRUV_4_L21_GX010035.MP4	16042	8.92113	20240518_BRUV_4_L21_GX010035.MP4	123934	68.92107	1
INV-BV-185	0	1	20240518_BRUV_5_L23_GX010034.MP4	18208	10.12568	20240518_BRUV_5_L23_GX010034.MP4	126100	70.12568	1
INV-BV-201	0	1	20240518_BRUV_6_L95_GX010036.MP4	9417	5.23690	20240518_BRUV_6_L95_GX010036.MP4	117309	65.23684	1
INV-BV-089	0	1	20240518_BRUV_7_L27_GX010037.MP4	11265	6.26460	20240518_BRUV_7_L27_GX010037.MP4	119157	66.26460	1
INV-BV-060	0	1	20240518_BRUV_8_L29_GX010032.MP4	31938	17.76109	20240518_BRUV_8_L29_GX010032.MP4	139830	77.76109	1
INV-BV-027	0	1	20240518_BRUV_9_L31_GX010057.MP4	17981	9.99944	20240518_BRUV_9_L31_GX010057.MP4	125873	69.99944	1
